date_delivrance,lead_cat,priorite,commune,prefecture,region,nature,building_type,floors,n_units_stated,surface,resume,adp,n_permis,dossier_id,lat,lon
2026-07-11,hotellerie,normale,COMMUNE DE MECHOUAR-KASBA,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Modification / Aménagement,hotel,0,0,140.0,hotel · 140 m2,derb KAID REHAL BAB AHMER N° 89,GUcmka-0101/2026,762017,31.61508,-7.97749
2026-07-10,lotissements,haute,COMMUNE DE LAAYOUNE,PROVINCE DE LAAYOUNE,REGION DE LAAYOUNE-SAKIA EL HAMRA,Morcellement,autre,0,0,414932.0,414 932 m2,LAAYOUNE,GUclyn-0371/2026,815793,27.10625,-13.14754
2026-07-10,grands_projets,normale,COMMUNE TIT MELLIL,PROVINCE MEDIOUNA,REGION DE CASABLANCA-SETTAT,Construction,residence,4,0,101.0,residence · R+4 · 101 m2 · sous-sol,LOT 24 LOTISSEMENT AL HOUDA TIT MELLIL,GUttm-0102/2026,804898,33.55186,-7.47268
2026-07-10,equipements,normale,COMMUNE EL JADIDA,PROVINCE EL JADIDA,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,sante,0,0,386.0,sante · 386 m2,Lotissement Al Adarissa Lot n°11,GUejd-0485/2026,772548,33.24442,-8.51299
2026-07-10,grands_projets,haute,COMMUNE DE TASSOULTANTE,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Groupement d'habitations,autre,0,0,120717.0,120 717 m2,PROPRIETE DITE TRDJMAN-1 ET RORDJMAN-2 DOUAR MY BOUBKER,GUctse-0632/2026,789466,31.56255,-8.0489
2026-07-10,grands_projets,haute,COMMUNE BOUSKOURA,PROVINCE NOUACEUR,REGION DE CASABLANCA-SETTAT,Groupement d'habitations,residence,2,0,22976.0,residence · R+2 · 22 976 m2,propriété dite ville verte bouskoura TR90-642,GUbsk-0257/2026,763841,33.49135,-7.6035
2026-07-10,grands_projets,normale,COMMUNE EL JADIDA,PROVINCE EL JADIDA,REGION DE CASABLANCA-SETTAT,Groupement d'habitations,villa,0,0,1434.0,villa · 1 434 m2,"RUE N°252 , EL JADIDA",GUejd-0469/2026,779357,33.23334,-8.4914
2026-07-10,hotellerie,haute,COMMUNE DE SEBAA ROUADI,PROVINCE DE MOULAY YAACOUB,REGION DE FES-MEKNES,Construction,hotel,0,0,16416.0,hotel · 16 416 m2,"LOTISSEMENT ER-REBYLY 1 LOT N B P1 COOPERATIVE MARHABA, PROVINCE MY YACOUB COMMUNE SBAA ROUADI",GUcsri-0028/2026,810552,34.03327,-5.08943
2026-07-10,lotissements,haute,COMMUNE DE MARCHOUCH,PROVINCE DE KHEMISSAT,REGION DE RABAT-SALE-KENITRA,Morcellement,autre,0,0,8817.0,8 817 m2,"Province de Khemisset, Cercle de Rommani, Commune Marchouch",GUcmhh-0014/2026,788851,33.59325,-6.63187
2026-07-10,grands_projets,normale,ARRONDISSEMENT DE GUELIZ,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Surélévation d'un bâtiment existant,social,2,0,96.0,social · R+2 · 96 m2,lotissement al izdihar n°281,GUaglz-0151/2026,787671,30.47958,-10.60359
2026-07-10,industriel,normale,COMMUNE TIT MELLIL,PROVINCE MEDIOUNA,REGION DE CASABLANCA-SETTAT,Construction,industriel,1,0,595.0,industriel · R+1 · 595 m2 · sous-sol,Lotissement Industriel HAKIM lot 82,GUttm-0098/2026,768016,33.53205,-7.49171
2026-07-10,industriel,normale,ARRONDISSEMENT MOULAY RACHID,PRÉFECTURE MOULAY RACHID,REGION DE CASABLANCA-SETTAT,Construction,industriel,4,0,1268.0,industriel · R+4 · 1 268 m2,LOT 8 LOTISSEMENT L'AMITIEE MOULAY RACHID CASABLANCA,GUcas-0737/2026,762322,33.56352,-7.52174
